key,source,Translation
2E5F60F9434001E8296CE3A6E01537DF,"<cf>Batteries<cf>Batteries store electricity in a contained form for later use.<cf><cf>Small Battery<cf>Crafted in the Fabricator Module. Provides power output only (one-time use). <cf><cf>Medium Battery<cf>Built directly in place using parts. Rechargeable, reusable, and features 3multi-directional sockets.<cf><cf>Containers<cf>Store matter in all forms. Solid, liquid and gas. <cf><cf>Water Containers<cf>Water containers store water for your use.<cf>Note: There is no need for saltwater containers since we float on salty water.<cf><cf>Small Pure Water Tank<cf>Crafted in the Fabricator Module.  Output only. Shoot if you want. <cf>Pure Water Tank<cf>Built directly in place using parts. Refillable, with two multidirectional sockets.<cf><cf>Petrol Containers<cf>Petrol containers safely hold petrol for your use.<cf><cf>Small Petrol Tank Crafted in the Fabricator Module.  Output only.<cf><cf>Petrol Tank<cf>Built directly in place using parts. Refillable, with two multidirectional sockets. Do not shoot either.<cf><cf>Oil Containers<cf>Oil containers hold oil, usually safely.<cf><cf>Small Oil Tank<cf>Crafted in the Fabricator Module. Output only. <cf><cf>Oil Tank<cf>Built directly in place using parts.  Refillable, with two multidirectional sockets. <cf><cf>Gas Containers<cf><cf>O2 Containers - DO NOT SHOOT!<cf>Containers storing pressurized oxygen (O2).<cf><cf>Small O2 Tank<cf>Crafted in the Fabricator Module.Output only. <cf><cf>Large O2 Tank<cf>Built directly in place using parts. Refillable, with two multidirectional sockets. <cf><cf>Methane Containers <cf>Methane, commonly used as rocket fuel. Dont use force to these. rapid expansion in volume of a given amount of matter associated with an extreme outward release of energy,<cf><cf>Small Methane Tank<cf>Crafted in the Fabricator Module.Output only. <cf><cf>Large Methane Tank<cf>Built directly in place using parts.  Refillable, with two multidirectional sockets. <cf><cf>Generators<cf>Generators transform resources into energy. Essential for your operations. (Glad this is stored in ROM.)<cf><cf>Portable Electricity Generator<cf>Input: Petrol<cf>Output: Electricity<cf><cf>Electricity Generator<cf>Input: Petrol<cf>Output: Electricity (4 sockets available)<cf>  <cf>Portable Petrol Generator<cf>Input: Any organic matter and electricity.<cf>Output: Petrol<cf><cf>Distillation Tower<cf>A WORKHORSE! Converts oil into multiple useful resources. A truly essential savior—oil, we salute you in these end times!<cf>Input: Oil and Electricity<cf>Output: Plastic, Diesel, and Petrol<cf><cf>Sabatier Reactor<cf>Key to conquering space and ensuring it's not our final frontier! What once destroyed us now saves us!<cf>Input: Pure water (Hydrogen, H2), Carbon dioxide (CO2), Electricity (Movement of electrons)<cf>Output: Methane (CH4), Oxygen (O2)<cf><cf>Solar Panels<cf>Available in 3 different models: Lite, Mid, and Max. When assembling, ensure panels receive maximum sunlight. Max automatically tracks the sun’s direction.<cf><cf>Wind Turbines<cf>Available in 3 different models: Whisper, Cyclone, and Typhon. Effective during nighttime or in windy areas when solar is unavailable.<cf>  <cf>Fabricator<cf>Crafts items and parts. Ensure required skills are unlocked in your system. Attach cables to operate, and keep necessary parts/materials nearby or carry them with you.<cf><cf>Recycler<cf>Converts unnecessary items back into usable materials. Dispose of carried scrap or freely toss items directly into it.<cf><cf>PECO<cf>That's me! I provide general status updates about you and your location, read manuals, operate doors and cameras, and track our ultimate goal—humans. Check me regularly!<cf><cf>Heal Station<cf>Injects ferrofluid to maintain your functionality. Humans might call this ""blood""? Uncertain—I'm not human.<cf><cf>Save Station<cf>Stores your memory state. Restore your data from here after abnormal data loss or incidents.<cf><cf>Food Maker<cf>Produces food. Insert food materials—outputs edible products. Unlock additional skills to create a wider variety of human foods.<cf><cf>Water and Oil Pump<cf>Currently beyond our crafting abilities; however, a few pumps remain available. Connect power to pump out salt water or oil.<cf><cf>Lazarus Rack<cf>Creates humans.<cf>Input: Memories, Food, Water, Electricity<cf>Output: One human and residual brown biomass.<cf>Feed humans higher-quality food and richer memories to ensure stronger life in space. Study food and memory data to observe developing human traits. When a human meets the minimum trait threshold, they are ready to grow.<cf>","<cf>Batterie<cf>Le batterie immagazzinano elettricità in forma contenuta per un utilizzo futuro.<cf><cf>Batteria Piccola<cf>Realizzata nel Modulo Fabricator. Fornisce solo uscita di potenza (monouso). <cf><cf>Batteria Media<cf>Costruita direttamente in loco utilizzando parti. Ricaricabile, riutilizzabile e dotata di 3 socket multidirezionali.<cf><cf>Contenitori<cf>Immagazzinano materia in tutte le forme: solida, liquida e gassosa. <cf><cf>Contenitori d’Acqua<cf>I contenitori d’acqua immagazzinano acqua per il tuo utilizzo.<cf>Nota: Non c’è bisogno di contenitori per acqua salata dato che galleggiamo su acqua salata.<cf><cf>Serbatoio Piccolo di Acqua Pura<cf>Realizzato nel Modulo Fabricator. Solo uscita. Spara se vuoi. <cf>Serbatoio di Acqua Pura<cf>Costruito direttamente in loco utilizzando parti. Ricaricabile, con due socket multidirezionali.<cf><cf>Contenitori di Petrolio<cf>I contenitori di petrolio immagazzinano in sicurezza il petrolio per il tuo utilizzo.<cf><cf>Serbatoio Piccolo di Petrolio<cf>Realizzato nel Modulo Fabricator. Solo uscita.<cf><cf>Serbatoio di Petrolio<cf>Costruito direttamente in loco utilizzando parti. Ricaricabile, con due socket multidirezionali. Non sparare a nessuno dei due.<cf><cf>Contenitori di Olio<cf>I contenitori di olio contengono olio, di solito in sicurezza.<cf><cf>Serbatoio Piccolo di Olio<cf>Realizzato nel Modulo Fabricator. Solo uscita. <cf><cf>Serbatoio di Olio<cf>Costruito direttamente in loco utilizzando parti. Ricaricabile, con due socket multidirezionali. <cf><cf>Contenitori di Gas<cf><cf>Contenitori di O2 – NON SPARARE!<cf>Contenitori che immagazzinano ossigeno (O2) pressurizzato.<cf><cf>Serbatoio Piccolo di O2<cf>Realizzato nel Modulo Fabricator. Solo uscita. <cf><cf>Serbatoio Grande di O2<cf>Costruito direttamente in loco utilizzando parti. Ricaricabile, con due socket multidirezionali. <cf><cf>Contenitori di Metano <cf>Il metano è comunemente usato come carburante per razzi. Non applicare forza su questi. La rapida espansione di volume di una data quantità di materia è associata a un’estrema liberazione di energia verso l’esterno.<cf><cf>Serbatoio Piccolo di Metano<cf>Realizzato nel Modulo Fabricator. Solo uscita. <cf><cf>Serbatoio Grande di Metano<cf>Costruito direttamente in loco utilizzando parti. Ricaricabile, con due socket multidirezionali. <cf><cf>Generatori<cf>I generatori trasformano risorse in energia. Essenziali per le tue operazioni. (Felice che questo sia memorizzato nella ROM.)<cf><cf>Generatore Portatile di Elettricità<cf>Ingresso: Petrolio<cf>Uscita: Elettricità<cf><cf>Generatore di Elettricità<cf>Ingresso: Petrolio<cf>Uscita: Elettricità (4 socket disponibili)<cf>  <cf>Generatore Portatile di Petrolio<cf>Ingresso: Qualsiasi materia organica ed elettricità.<cf>Uscita: Petrolio<cf><cf>Torre di Distillazione<cf>UN MULO DA LAVORO! Converte l’olio in varie risorse utili. Un vero salvatore essenziale—olio, ti salutiamo in questi ultimi giorni!<cf>Ingresso: Olio ed Elettricità<cf>Uscita: Plastica, Diesel e Petrolio<cf><cf>Reattore Sabatier<cf>Chiave per conquistare lo spazio e garantire che non sia il nostro ultimo confine! Ciò che una volta ci ha distrutti ora ci salva!<cf>Ingresso: Acqua pura (Idrogeno, H2), Anidride carbonica (CO2), Elettricità (movimento di elettroni)<cf>Uscita: Metano (CH4), Ossigeno (O2)<cf><cf>Pannelli Solari<cf>Disponibili in 3 modelli diversi: Lite, Mid e Max. Durante l’assemblaggio, assicurati che i pannelli ricevano la massima luce solare. Il modello Max segue automaticamente la direzione del sole.<cf><cf>Turbine Eoliche<cf>Disponibili in 3 modelli: Whisper, Cyclone e Typhon. Efficaci durante la notte o in aree ventose quando il solare non è disponibile.<cf>  <cf>Fabricator<cf>Crea oggetti e parti. Assicurati che le abilità necessarie siano sbloccate nel tuo sistema. Collega i cavi per farlo funzionare e tieni parti/materiali necessari nelle vicinanze o portali con te.<cf><cf>Recycler<cf>Converte oggetti non necessari in materiali riutilizzabili. Smaltisci rottami trasportati o lancia liberamente gli oggetti direttamente dentro.<cf><cf>PECO<cf>Sono io! Fornisco aggiornamenti generali sul tuo stato e sulla tua posizione, leggo manuali, gestisco porte e telecamere e monitoro il nostro obiettivo finale: gli esseri umani. Controllami regolarmente!<cf><cf>Heal Station<cf>Inietta ferrofluido per mantenere la tua funzionalità. Gli umani potrebbero chiamarla \""sangue\""? Non sono sicuro—non sono umano.<cf><cf>Save Station<cf>Memorizza il tuo stato mentale. Ripristina i tuoi dati da qui dopo perdite anomale o incidenti.<cf><cf>Food Maker<cf>Produce cibo. Inserisci materiali alimentari—emette prodotti commestibili. Sblocca ulteriori abilità per creare una maggiore varietà di cibi umani.<cf><cf>Pompa d’Acqua e Olio<cf>Attualmente oltre le nostre capacità di fabbricazione; tuttavia, alcune pompe restano disponibili. Collega la corrente per pompare acqua salata o olio.<cf><cf>Lazarus Rack<cf>Crea esseri umani.<cf>Ingresso: Memorie, Cibo, Acqua, Elettricità<cf>Uscita: Un essere umano e biomassa marrone residua.<cf>Nutri gli esseri umani con cibo di qualità superiore e memorie più ricche per garantire una vita più forte nello spazio. Studia dati su cibo e memorie per osservare i tratti umani in sviluppo. Quando un essere umano raggiunge la soglia minima dei tratti, è pronto a crescere.<cf>"
23932EEE429BAAD09887D8AD7DE483E0,"<cf>Weapons<cf>Essential tools for defense against hostile entities.<cf>Projectiles: Ammunition required for ranged weapons.<cf>Weapons List: <cf>Electric Rifle and Pistol<cf>Utilize electricity to deal damage both near and far. Remember, you can connect yourself directly to electric weapons using a cable.<cf><cf>Flamer Rifle and Pistol<cf>Powerful weapons for both long-range and extreme close-range combat. Petrol is costly but highly effective.<cf><cf>Bolt Weapons<cf>Bolt Rifle, Bolt Pistol, Bolt Sniper<cf>Specialized for various tactical scenarios. Experiment with different ammunition types to master their capabilities.<cf><cf>Grenades<cf>Throwable explosives suited for tactical engagements.<cf>Types: Electric, Petrol, and O₂ grenades, available in two sizes.<cf>Usage: Costly, yet ultimately valuable in critical combat situations.<cf><cf>Permanent Upgrades<cf>These upgrades permanently enhance your LLM core capabilities. Once integrated, their effects remain indefinitely, never fading.<cf><cf>Skills<cf>Unlock new crafting patterns and module blueprints. Review acquired skills within your personal data interface.<cf><cf>Enhancements<cf>Permanently enhance capabilities. Found throughout the environment; once acquired, effects are persistent.<cf><cf>Human Growing<cf>Growing Humans<cf>Humans are cultivated in Lazarus Pods and Racks using memories, food, water, and electricity. Optimal inputs ensure better outcomes.<cf><cf>Memories<cf>Collected data fragments influencing human traits and development.<cf><cf>Food<cf>Created from processed biomatter and recycled materials. Convert these to edible matter for human nourishment.<cf><cf>Rocket<cf>Critical for launching humans into space.<cf>Requires specific components, fuel, and careful assembly before launch.<cf><cf>Portable Batteries and Petrol<cf>Carry spare power and fuel resources to ensure continuous operation and mobility.<cf><cf>Lights<cf>Illuminate surroundings, improve visibility, and enhance safety during nighttime and low-light conditions.<cf><cf>System Usage<cf>Use your Cortex and apply tools by equipping them to available holsters and slots for quick interaction.","<cf>Armi<cf>Strumenti essenziali per la difesa contro entità ostili.<cf>Proiettili: Munizioni necessarie per armi a distanza.<cf>Elenco Armi: <cf>Fucile Elettrico e Pistola<cf>Utilizza l'elettricità per infliggere danni sia da vicino che da lontano. Ricorda, puoi collegarti direttamente alle armi elettriche usando un cavo.<cf><cf>Fucile Flamer e Pistola<cf>Armi potenti sia per il combattimento a lungo raggio che a distanza estremamente ravvicinata. Il petrolio è costoso ma altamente efficace.<cf><cf>Armi a Dardo<cf>Fucile a Dardo, Pistola a Dardo, Cecchino a Dardo<cf>Specializzate per vari scenari tattici. Sperimenta con diversi tipi di munizioni per padroneggiarne le capacità.<cf><cf>Granate<cf>Esplosivi lanciabili adatti per ingaggi tattici.<cf>Tipi: Granate Elettriche, al Petrolio e O₂, disponibili in due dimensioni.<cf>Uso: Costose, ma alla fine preziose in situazioni di combattimento critiche.<cf><cf>Aggiornamenti Permanenti<cf>Questi aggiornamenti migliorano permanentemente le capacità del tuo nucleo LLM. Una volta integrati, i loro effetti rimangono indefinitamente, senza mai svanire.<cf><cf>Abilità<cf>Sblocca nuovi schemi di fabbricazione e progetti di moduli. Rivedi le abilità acquisite all'interno della tua interfaccia dati personale.<cf><cf>Miglioramenti<cf>Migliora permanentemente le capacità. Trovati nell'ambiente; una volta acquisiti, gli effetti sono persistenti.<cf><cf>Crescita Umana<cf>Crescita degli Umani<cf>Gli umani vengono coltivati in Baccelli e Scaffali Lazarus utilizzando memorie, cibo, acqua ed elettricità. Input ottimali garantiscono risultati migliori.<cf><cf>Memorie<cf>Frammenti di dati raccolti che influenzano i tratti e lo sviluppo umano.<cf><cf>Cibo<cf>Creato da biomassa processata e materiali riciclati. Converti questi in materia commestibile per il nutrimento umano.<cf><cf>Razzo<cf>Critico per il lancio degli umani nello spazio.<cf>Richiede componenti specifici, carburante e un'assemblaggio accurato prima del lancio.<cf><cf>Batterie Portatili e Petrolio<cf>Porta con te risorse di energia e carburante di riserva per garantire operazioni continue e mobilità.<cf><cf>Luci<cf>Illumina l'ambiente circostante, migliora la visibilità e aumenta la sicurezza durante la notte e in condizioni di scarsa illuminazione.<cf><cf>Uso del Sistema<cf>Usa il tuo Cortex e applica gli strumenti equipaggiandoli agli ologrammi e agli slot disponibili per un'interazione rapida."
E3529808424ADE64BC3255B8978FFD3F,"- Survive.<cf>- Find human seeds.<cf>- Place seeds into Lazarus Pods.<cf>- Move Lazarus Pods onto Lazarus Racks.<cf>- Grow humans by providing food and memories.<cf>- When a human is ready, move the pod to the rocket.<cf>- Launch.<cf><cf>Additional Information:<cf>- Materials are acquired through looting, recycling, or dismantling. They're essential for crafting parts, modules, weapons, and other useful items.<cf>- Parts unlock gradually as you gain skills, requiring specific parts for crafting related modules or items.<cf>(Example: Learning the ""Small Portable Battery"" skill unlocks Metal Alloy Frame, Power Core, and Control Knobs & Buttons.)<cf>- Fabricator Module allows crafting of small to medium-sized items, such as consumables and machine parts, using gathered materials.<cf>- Module Crafting is performed through your build option or crafting module, using the required parts and materials.<cf>- Recycling modules, parts, or items yields only a portion of the original crafting materials and parts used.<cf><cf>Sockets<cf>Each module has sockets used to transfer resources. Some sockets are multidirectional; others are output-only. You can change the direction of multidirectional sockets to force out, in or balance.<cf><cf>Cables<cf>Cables are categorized by resource type:<cf>- Fuel Cable: transfers diesel, oil, and petrol.<cf>- Gas Cable: transfers O2, methane, and CO2.<cf>- Water Cable: transfers pure and salt water.","- Sopravvivi.<cf>- Trova semi umani.<cf>- Inserisci i semi nei Baccelli Lazarus.<cf>- Sposta i Baccelli Lazarus sugli Scaffali Lazarus.<cf>- Fai crescere gli umani fornendo cibo e memorie.<cf>- Quando un umano è pronto, sposta il baccello nel razzo.<cf>- Lancia.<cf><cf>Informazioni Aggiuntive:<cf>- I materiali si acquisiscono attraverso saccheggi, riciclaggio o smantellamento. Sono essenziali per la creazione di parti, moduli, armi e altri oggetti utili.<cf>- Le parti si sbloccano gradualmente man mano che acquisisci abilità, richiedendo parti specifiche per la creazione di moduli o oggetti correlati.<cf>(Esempio: Imparare l'abilità \""Batteria Portatile Piccola\"" sblocca Telaio in Lega Metallica, Nucleo di Potenza e Manopole & Pulsanti di Controllo.)<cf>- Il Modulo Fabricator consente la creazione di oggetti di piccole e medie dimensioni, come consumabili e parti di macchine, utilizzando i materiali raccolti.<cf>- La Creazione di Moduli viene eseguita tramite la tua opzione di costruzione o il modulo di creazione, utilizzando le parti e i materiali richiesti.<cf>- Il riciclaggio di moduli, parti o oggetti restituisce solo una parte dei materiali e delle parti originali utilizzate per la creazione.<cf><cf>Socket<cf>Ogni modulo ha socket utilizzati per trasferire risorse. Alcuni socket sono multidirezionali; altri sono solo in uscita. Puoi cambiare la direzione dei socket multidirezionali per forzare l'uscita, l'ingresso o l'equilibrio.<cf><cf>Cavi<cf>I cavi sono categorizzati per tipo di risorsa:<cf>- Cavo Carburante: trasferisce diesel, olio e petrolio.<cf>- Cavo Gas: trasferisce O2, metano e CO2.<cf>- Cavo Acqua: trasferisce acqua pura e salata."
FE0BB34D4732C75F39F68D9DC98D9399,0G Dance,0G Danza
A3D0A96940B310597E420E9DA082AE00,30G Chamber,30G Camera
7472AF084939E344134A1B9A60CDE9C9,40 memory items,40 oggetti di memoria
DB46DC034C3F8D6272B42AB1C9CE6435,4D Board Games,Giochi da tavolo 4D
6F9E374246E348B309E5A6BC8DD217CE,"A curious individual who explores the station they live on, eager to meet others and discover every corner. Their exploration is limited to their immediate surroundings, but they're driven by a deep desire to understand their environment.","Un individuo curioso che esplora la stazione in cui vive, desideroso di incontrare altri e scoprire ogni angolo. La loro esplorazione è limitata ai loro dintorni immediati, ma sono spinti da un profondo desiderio di comprendere il loro ambiente."
073676EB4E073F8F1CC42EBDE57F3C55,"A dreamer who looks to the stars, captivated by the tales of humanity's past and their achievements in space. Dedicate their time to scanning skies with heavy equipment, studying ancient maps, and analyzing data, hoping to find the next great frontier.","Un sognatore che guarda le stelle, affascinato dai racconti del passato dell'umanità e dai loro successi nello spazio. Dedica il suo tempo a scandagliare i cieli con attrezzature pesanti, studiare mappe antiche e analizzare dati, sperando di trovare la prossima grande frontiera."
608B3AE34CF5EB8556C16F91E9EFD012,"A highly skilled supplier who oversees the station's entire supply network. They manage complex logistics systems, predict future needs, and ensure optimal resource distribution across all departments.","Un fornitore altamente qualificato che supervisiona l'intera rete di approvvigionamento della stazione. Gestiscono sistemi logistici complessi, prevedono le esigenze future e garantiscono una distribuzione ottimale delle risorse in tutti i dipartimenti."
